Performer,Song,spotify_genre
Herb Alpert's Tijuana Brass,Mexican Drummer Man,
The Applejacks,Mexican Hat Rock,"['british invasion', 'merseybeat']"
Billy Vaughn And His Orchestra,Mexican Pearls,
Wall Of Voodoo,Mexican Radio,"['dance rock', 'new romantic', 'new wave', 'post-punk']"
Bob Moore and His Orch.,Mexico,
James Taylor,Mexico,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
J Balvin & Willy William Featuring Beyonce,Mi Gente,"['latin', 'reggaeton']"
Bad Bunny Featuring Drake,MIA,"['latin', 'reggaeton', 'trap latino']"
Jan Hammer,Miami Vice Theme,['jazz fusion']
Bob Seger,Miami,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
Eugene Church,Miami,[]
Will Smith,Miami,['hip hop']
BTS Featuring Desiigner,MIC Drop,"['k-pop', 'k-pop boy group']"
Steve Alaimo,Michael - Pt. 1,[]
The C.O.D.'s,Michael,
The Highwaymen,Michael,"['country rock', 'outlaw country']"
Trini Lopez,Michael,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
Billy Vaughn And His Orchestra,Michelle,
Bud Shank,Michelle,"['bebop', 'cool jazz', 'jazz saxophone']"
David & Jonathan,Michelle,"['dance pop', 'edm', 'pop']"
The Miracles,Mickey's Monkey,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
Toni Basil,Mickey,['new wave pop']
Das EFX (Featuring Mobb Deep),Microphone Master,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'turntablism']"
Midnight Star,Midas Touch,"['disco', 'electro', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
PnB Rock & XXXTENTACION,Middle Child,"['melodic rap', 'pop rap', 'rap', 'trap']"
Cole Swindell,Middle Of A Memory,"['contemporary country', 'country', 'country road', 'modern country rock']"
Pretenders,Middle Of The Road,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'roots rock', 'soft rock']"
DJ Snake Featuring Bipolar Sunshine,Middle,['electronic trap']
Maria Muldaur,Midnight At The Oasis,[]
Lou Gramm,Midnight Blue,"['album rock', 'mellow gold', 'soft rock']"
Louise Tucker,Midnight Blue,[]
Melissa Manchester,Midnight Blue,"['adult standards', 'bubblegum pop', 'mellow gold', 'soft rock', 'yacht rock']"
M83.,Midnight City,"['french shoegaze', 'indie pop', 'indietronica', 'metropopolis', 'neo-synthpop']"
The Grass Roots,Midnight Confessions,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock', 'sunshine pop']"
Ferrante & Teicher,Midnight Cowboy,"['adult standards', 'easy listening', 'exotica', 'lounge']"
Four Tops,Midnight Flower,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Nat King Cole,Midnight Flyer,['adult standards']
Kenny Ball and his Jazzmen,Midnight In Moscow,['dixieland']
Ray Conniff His Orchestra And Chorus,Midnight Lace - Part I,[]
David Carroll And His Orchestra,Midnight Lace,[]
Ray Ellis,Midnight Lace,[]
LeBlanc & Carr,Midnight Light,['social media pop']
James Gang,Midnight Man,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
Joey Powers,Midnight Mary,['deep adult standards']
One Direction,Midnight Memories,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
Charlie Blackwell,Midnight Oil,
Poco,Midnight Rain,"['album rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']"
The Babys,Midnight Rendezvous,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
Gregg Allman,Midnight Rider,"['blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'jam band', 'mellow gold', 'modern blues', 'roots rock', 'southern rock']"
Joe Cocker and The Chris Stainton Band,Midnight Rider,
Al Stewart,Midnight Rocks,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
The Isley Brothers,Midnight Sky (Part 1),"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Miley Cyrus,Midnight Sky,"['dance pop', 'pop', 'post-teen pop']"
Jimmy Smith,"Midnight Special, Part 1","['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']"
Johnny Rivers,Midnight Special,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'soft rock']"
The Revels,Midnight Stroll,[]
Gladys Knight And The Pips,Midnight Train To Georgia,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
John Stewart,Midnight Wind,['country rock']
Coldplay,Midnight,"['permanent wave', 'pop']"
Dennis Yost And The Classics IV,Midnight,[]
The Champs,Midnighter,"['rock-and-roll', 'rockabilly']"
Johnny Gibson,Midnight,[]
Logic,Midnight,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Paul Anka,Midnight,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
Krokus,Midnite Maniac,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock', 'swiss rock']"
Paul Evans,Midnite Special,['novelty']
St. Lunatics,Midwest Swing,"['dirty south rap', 'southern hip hop']"
DJ Luke Nasty,Might Be,"['nc hip hop', 'trap']"
Deep Purple,Might Just Take Your Life,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']"
A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up,
Belly Featuring The Weeknd,Might Not,"['canadian hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']"
OutKast,"Mighty ""O""","['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']"
B.J. Thomas,Mighty Clouds Of Joy,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
The Miracles,Mighty Good Lovin',"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
Ricky Nelson,Mighty Good,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
Mighty Clouds Of Joy,Mighty High,"['contemporary gospel', 'gospel', 'praise']"
The Shocking Blue,Mighty Joe,
The Spinners,Mighty Love - Pt. 1,"['classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'philly soul', 'quiet storm', 'soft rock', 'soul', 'southern soul']"
"Earth, Wind & Fire",Mighty Mighty,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
Manfred Mann,Mighty Quinn (Quinn The Eskimo),"['brill building pop', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Mariah Carey Featuring T-Pain,Migrate,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Fotomaker,Miles Away,[]
Winger,Miles Away,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']"
Graham Nash,Military Madness,"['british folk', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
Ricky Nelson,Milk Cow Blues,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
Kelis,Milkshake,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
Miss Abrams And The Strawberry Point School Third Grade Class,Mill Valley,
Robbie Williams,Millennium,"['dance pop', 'europop', 'pop']"
Bobby Bare,Miller's Cave,"['classic country pop', 'country', 'country rock', 'outlaw country']"
Meek Mill Featuring Swizz Beatz,Millidelphia,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Whitney Houston,Million Dollar Bill,"['dance pop', 'pop', 'r&b']"
Future & Lil Uzi Vert,Million Dollar Play,
Lady Gaga,Million Reasons,"['dance pop', 'pop']"
Chris Stapleton,Millionaire,"['contemporary country', 'outlaw country']"
Bobby Darin,Milord,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
Edith Piaf,Milord,"['chanson', 'torch song', 'vintage schlager']"
Teresa Brewer,Milord,"['adult standards', 'deep adult standards']"
Stillwater,Mind Bender,[]
Smooth,Mind Blowin',['scorecore']
The Trade Winds,Mind Excursion,['wind ensemble']
John Lennon,MIND GAMES,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
Geto Boys,Mind Playing Tricks On Me,"['conscious hip hop', 'dirty south rap', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'southern hip hop']"
Dustin Lynch,Mind Reader,"['contemporary country', 'country', 'country road', 'modern country rock']"
The Flaming Ember,"Mind, Body and Soul",
The Olympics,Mine Exclusively,"['doo-wop', 'rhythm and blues']"
Rod Stewart,Mine For Me,"['adult standards', 'mellow gold', 'soft rock']"
Blake Shelton,Mine Would Be You,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Bazzi,Mine,"['pop', 'post-teen pop']"
Beyonce Featuring Drake,Mine,"['dance pop', 'pop', 'pop rap', 'r&b']"
Taylor Swift,Mine,"['pop', 'post-teen pop']"
Wilson Pickett,Mini-Skirt Minnie,"['brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
Mac McAnally,Minimum Love,[]
Blake Shelton,Minimum Wage,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Northern Light,Minnesota,[]
Jethro Tull,Minstrel In The Gallery,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
The Cure,Mint Car,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']"
The Doobie Brothers,Minute By Minute,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']"
The Flamingos,Mio Amore,"['brill building pop', 'doo-wop', 'rhythm and blues']"
Jon Bon Jovi,"Miracle (From ""Young Guns II"")",['classic rock']
Jefferson Starship,Miracles,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
Stacy Lattisaw,Miracles,"['disco', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
Whitney Houston,Miracle,"['dance pop', 'pop', 'r&b']"
Eric Troyer,Mirage,[]
Tommy James And The Shondells,Mirage,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']"
The Human League,Mirror Man,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']"
M2M,Mirror Mirror,"['candy pop', 'dance pop', 'europop', 'girl group', 'norwegian pop', 'pop rock']"
Fabulous Poodles,Mirror Star,[]
Diana Ross,"Mirror, Mirror","['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Taylor Swift,Mirrorball,"['pop', 'post-teen pop']"
Lil Wayne Featuring Bruno Mars,Mirror,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Justin Timberlake,Mirrors,"['dance pop', 'pop', 'pop rap']"
Foster Sylvers,Misdemeanor,[]
Paramore,Misery Business,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
Glee Cast,Misery,"['glee club', 'hollywood', 'post-teen pop']"
Maroon 5,Misery,"['pop', 'pop rock']"
Soul Asylum,Misery,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'post-grunge', 'rock']"
The Dynamics,Misery,"['acid jazz', 'afrobeat', 'afropop', 'electronica', 'funk', 'indie jazz', 'indie soul', 'nu jazz', 'soul']"
Curiosity Killed The Cat,Misfit,"['dance rock', 'new romantic', 'new wave pop']"
Andru Donalds,Mishale,['reggae fusion']
Celine Dion,Misled,"['canadian pop', 'dance pop']"
Kool & The Gang,Misled,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
Mark Lindsay,Miss America,['bubblegum pop']
Taylor Swift,Miss Americana & The Heartbreak Prince,"['dance pop', 'pop', 'post-teen pop']"
Belle Epoque,Miss Broadway,"['screamo', 'skramz']"
Dante Thomas Featuring Pras,Miss California,[]
The New Yorkers,Miss Fine,[]
Kelly Clarkson,Miss Independent,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
Ne-Yo,Miss Independent,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Panic! At The Disco Featuring Lolo,Miss Jackson,"['baroque pop', 'emo', 'modern rock']"
Chris Cagle,Miss Me Baby,"['contemporary country', 'country', 'country road', 'modern country rock']"
Culture Club,Miss Me Blind,"['dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Kelsea Ballerini,Miss Me More,"['contemporary country', 'pop']"
Kelsea Ballerini,Miss Me More,"['contemporary country', 'pop']"
Drake Featuring Lil Wayne,Miss Me,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Fifth Harmony,Miss Movin' On,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']"
AFI,Miss Murder,"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
Boz Scaggs,Miss Sun,"['adult standards', 'album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
Trippie Redd & Playboi Carti,Miss The Rage,
Def Leppard,Miss You In A Heartbeat,"['album rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']"
Natalie Cole,Miss You Like Crazy,"['adult standards', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Janet Jackson,Miss You Much,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Aaliyah,Miss You,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Jaye P. Morgan,Miss You,['deep adult standards']
The Rolling Stones,Miss You,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Daryl Hall John Oates,Missed Opportunity,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
"Brandy, Tamia, Gladys Knight & Chaka Khan","Missing You (From ""Set It Off"")","['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Michael Bolton,Missing You Now,"['adult standards', 'soft rock']"
Brooks & Dunn,Missing You,"['contemporary country', 'country', 'country road', 'country rock']"
Case,Missing You,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Dan Fogelberg,Missing You,"['adult standards', 'album rock', 'bubblegum pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
Diana Ross,Missing You,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
John Waite,Missing You,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']"
Ray Peterson,Missing You,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll']"
Steve Perry,Missing You,"['album rock', 'mellow gold', 'soft rock', 'yacht rock']"
Tina Turner,Missing You,"['disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']"
Everything But The Girl,Missing,"['electronica', 'new wave pop', 'pop rock', 'trip hop']"
Donnie Brooks,Mission Bell,[]
Lalo Schifrin,Mission-Impossible,"['classic soundtrack', 'latin classical', 'latin soundtrack', 'lounge', 'theme']"
Eurythmics,Missionary Man,"['dance pop', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
Charley Pride,Mississippi Cotton Picking Delta Town,"['classic country pop', 'country', 'country rock', 'nashville sound']"
Faith Hill,Mississippi Girl,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']"
Owen B.,Mississippi Mama,[]
Mountain,Mississippi Queen,"['alternative rock', 'anti-folk', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'stomp and holler']"
John Phillips,Mississippi,"['cosmic american', 'country rock']"
Al B. Sure!,Missunderstanding,"['funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Culture Club,Mistake No. 3,"['dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Kim Carnes,Mistaken Identity,"['new wave pop', 'soft rock']"
Bobby Cole,Mister Bo Jangles,[]
Buffy Sainte-Marie,Mister Can't You See,"['american folk revival', 'canadian indigenous', 'canadian singer-songwriter', 'folk', 'native american', 'traditional folk']"
Larry Verne,Mister Livingston,['novelty']
The Videls,Mister Lonely,"['doo-wop', 'soda pop']"
"Grover Washington, Jr.",Mister Magic,"['jazz funk', 'smooth jazz']"
Four Jacks And A Jill,Mister Nico,[]
Emmylou Harris,Mister Sandman,"['country rock', 'folk', 'folk rock', 'lilith', 'melancholia', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk']"
Colbie Caillat,Mistletoe,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
Justin Bieber,Mistletoe,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
Mistress,Mistrusted Love,[]
Dorothy Moore,Misty Blue,"['classic soul', 'southern soul']"
Eddy Arnold,Misty Blue,"['nashville sound', 'traditional country', 'yodeling']"
Joe Simon,Misty Blue,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
"""Groove"" Holmes",Misty,"['instrumental soul', 'jazz funk', 'jazz organ', 'soul jazz']"
Johnny Mathis,Misty,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']"
Lloyd Price,Misty,"['adult standards', 'brill building pop', 'doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Ray Stevens,Misty,"['bubblegum pop', 'comic', 'country rock', 'novelty']"
The Vibrations,Misty,"['chicago soul', 'northern soul']"
Genesis,Misunderstanding,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
The Rolling Stones,Mixed Emotions,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
YNW Melly Featuring Kanye West,Mixed Personalities,"['melodic rap', 'trap']"
Joey Scarbury,Mixed Up Guy,"['soft rock', 'yacht rock']"
Patty & The Emblems,"Mixed-Up, Shook-Up, Girl","['country', 'country dawn', 'country rock']"
Mary J. Blige Featuring The Game & 50 Cent,MJB Da MVP,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Crash Test Dummies,Mmm Mmm Mmm Mmm,"['canadian rock', 'pop rock']"
Austin Mahone Featuring Pitbull,Mmm Yeah,"['dance pop', 'pop', 'post-teen pop', 'social media pop', 'teen pop', 'viral pop']"
Hanson,MMMBop,"['boy band', 'dance pop', 'neo mellow', 'pop rock']"
Sheck Wes,Mo Bamba,"['rap', 'trap', 'underground hip hop', 'vapor trap']"
The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Booker T. & The MG's,Mo-Onions,"['classic soul', 'funk', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul']"
Mark Morrison,Moan & Groan,"['british soul', 'new jack swing']"
Drake,Mob Ties,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Aretha Franklin,Mockingbird,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
Carly Simon & James Taylor,Mockingbird,"['adult standards', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
Eminem,Mockingbird,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
Inez Foxx with Charlie Foxx,Mockingbird,
Rob Thomas,Mockingbird,"['acoustic pop', 'neo mellow', 'pop rock', 'post-grunge']"
Johnny Maestro,Model Girl,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
Travis Tritt,Modern Day Bonnie And Clyde,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']"
Van Stephenson,Modern Day Delilah,[]
Sheena Easton,Modern Girl,"['adult standards', 'mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
David Bowie,Modern Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
Huncho Jack,Modern Slavery,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Billy Joel,"Modern Woman (From ""Ruthless People"")","['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
Charlie Rich,Mohair Sam,"['arkansas country', 'country', 'country rock', 'nashville sound']"
Larry Bright,Mojo Workout (Dance),[]
Sponge,Molly (Sixteen Candles),"['alternative rock', 'grunge', 'pop rock', 'post-grunge']"
Bobby Goldsboro,Molly,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']"
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",Molly,"['pop rap', 'rap', 'trap']"
Patti Page,Mom And Dad's Waltz,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Nicki Minaj Featuring Drake,Moment 4 Life,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']"
Yvonne Elliman,Moment By Moment,['disco']
The Vogues,Moments To Remember,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'sunshine pop']"
Emerson Drive,Moments,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Jennell Hawkins,Moments,[]
2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Dustin Lynch,Momma's House,"['contemporary country', 'country', 'country road', 'modern country rock']"
Carl Mann,Mona Lisa,"['rock-and-roll', 'rockabilly', 'swamp pop']"
Conway Twitty,Mona Lisa,"['arkansas country', 'country', 'country rock']"
Lil Wayne Featuring Kendrick Lamar,Mona Lisa,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Alan Jackson,Monday Morning Church,"['contemporary country', 'country', 'country road']"
The Mamas & The Papas,"Monday, Monday","['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']"
Jr. Walker & The All Stars,Money (That's What I Want) (Part 1),"['outlaw country', 'redneck']"
Barrett Strong,Money (That's what I want),['motown']
JD Featuring Jay-Z,Money Ain't A Thang,[]
Five Man Electrical Band,Money Back Guarantee,"['canadian psychedelic', 'classic canadian rock']"
Cardi B,Money Bag,"['pop', 'pop rap', 'rap']"
Ralph Tresvant,"Money Can't Buy You Love (From ""Mo' Money"")","['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Cyndi Lauper,Money Changes Everything,"['dance pop', 'dance rock', 'europop', 'mellow gold', 'new wave pop', 'permanent wave', 'pop', 'pop rock', 'soft rock']"
Prince And The N.P.G.,Money Don't Matter 2 Night,
Dire Straits,Money For Nothing,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
Bay City Rollers,Money Honey,"['bubblegum pop', 'classic uk pop']"
Lil Scrappy Featuring Young Buck,Money In The Bank,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'wrestling']"
Swizz Beatz,Money In The Bank,"['battle rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Too $hort,Money In The Ghetto,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']"
Drake Featuring Rick Ross,Money In The Grave,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Lil Uzi Vert,Money Longer,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']"
Ludacris Featuring Pharrell,Money Maker,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Chris Blue,Money On You,[]
Tory Lanez,Money Over Fallouts,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']"
Quincy Jones,Money Runner,"['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
Lil Uzi Vert Featuring Young Nudy,Money Spread,
Birdman Featuring Lil Wayne & Drake,Money To Blow,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
James Brown And The Famous Flames,Money Won't Change You (Part 1),"['motown', 'soul']"
ABBA,"Money, Money, Money","['europop', 'swedish pop']"
The Lox [Featuring DMX & Lil' Kim],"Money, Power & Respect","['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']"
Mack 10 Featuring Gerald Levert,Money's Just A Touch Away,"['chicano rap', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hyphy', 'rap', 'west coast rap', 'west coast trap']"
Simply Red,Money$ Too Tight (To Mention),"['british soul', 'dance rock', 'disco', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Cardi B,Money,"['pop', 'pop rap', 'rap']"
